date;url;pi/ day;mb/ day
"01.12.2020";www.john-doe.com;2886;571
"02.12.2020";"www.john-doe.com";3301;538
"03.12.2020";"www.john-doe.com";2063;357
"04.12.2020";"www.john-doe.com";1474;288
05.12.2020;"www.john-doe.com";19078;2398
"06.12.2020";"www.john-doe.com";853;205
"07.12.2020";"www.john-doe.com";560;161
"08.12.2020";"www.john-doe.com";703;181
"09.12.2020";"www.john-doe.com";893;230
"10.12.2020";"www.john-doe.com";896;246
"11.12.2020";"www.john-doe.com";898;232
"12.12.2020";"www.john-doe.com";1093;269
"13.12.2020";"www.john-doe.com";1049;222
"14.12.2020";"www.john-doe.com";792;218
"15.12.2020";"www.john-doe.com";1174;294
"16.12.2020";"www.john-doe.com";1267;304
"17.12.2020";"www.john-doe.com";1132;270
"18.12.2020";"www.john-doe.com";821;216
"19.12.2020";"www.john-doe.com";1202;278
"20.12.2020";"www.john-doe.com";996;243
"21.12.2020";"www.john-doe.com";810;181
"22.12.2020";"www.john-doe.com";1321;275
"23.12.2020";"www.john-doe.com";1000;241
"24.12.2020";"www.john-doe.com";1180;269
"25.12.2020";"www.john-doe.com";9876;259
"26.12.2020";"www.john-doe.com";1102;257
"27.12.2020";"www.john-doe.com";43256;4097
"28.12.2020";"www.john-doe.com";881;226
"29.12.2020";"www.john-doe.com";1013;234
"30.12.2020";"www.john-doe.com";1034;603
"31.12.2020";"www.john-doe.com";998;432





